dataset,moran_I,moran_p,moran_z,geary_C,geary_p,geary_z
original,0.030791634257469783,0.001,6.922891465630415,0.969692430188838,0.001,-3.4637550977014038
donut,0.01807297017308612,0.001,4.085508934659063,0.9861331527736136,0.037,-1.7328647723056199
agdm,0.017927767881753067,0.001,3.8893501738979843,0.9768270833860048,0.001,-2.908473995551522
